id,TÊN THỰC PHẨM,calories,water_g,protein_g,fats_g,carbs_g,fiber_g
231,Đậu trứng cuốc,340,14,25.8,2.0,54.8,4.8
232,Đậu tương (đậu nành),418,14,34.0,18.4,29.1,4.5
233,Đậu ván,39,89.6,2.8,0.0,7.0,
234,Đậu xanh (đậu tắt),346,14,23.4,2.4,57.8,4.7
235,Dọc củ cải (non),21,93.6,1.9,,3.4,1.8
236,Dọc mùng,13,96,0.4,,2.8,2.0
237,Dồi lợn,114,78.9,12.4,7.1,0.0,0.0
238,Đu đủ chín,38,90.1,1.0,0.11,8.19,0.6
239,Đu đủ xanh,30,92.1,0.8,,6.6,2.0
240,Dưa bở,21,94.5,0.5,0.2,4.3,0.7
241,Dưa cải bắp,24,90.9,1.2,,4.9,1.6
242,Dưa cải bẹ,25,90.1,1.8,,4.5,2.1
243,Dưa cải sen,17,93.8,1.1,,3.1,1.8
244,Dưa chuột,18,95,0.8,0.09,3.61,0.7
245,Dưa chuột hộp,19,95,0.3,0.14,4.16,0.7
246,Dưa chuột muối,17,92.1,0.8,0.14,3.06,0.7
247,Dưa gang,14,96.2,0.8,,2.7,0.7
248,Dưa giá (đậu xanh),47,86.2,5.0,,6.8,2.0
249,Dưa hấu,18,95.5,1.2,0.2,2.8,0.5
250,Dưa hồng,19,95,0.3,0.1,4.1,0.4
251,Dứa hộp,57,85.6,0.3,0.06,13.84,0.2
252,Dưa lê,20,93.3,0.4,0.0,4.7,0.5
253,Dứa ta,32,91.5,0.8,,7.3,0.8
254,Dứa tây,40,89.7,0.5,0.07,9.23,0.4
255,Đuôi bò,137,73,19.7,6.5,0.0,0.0
256,Đuôi lợn,467,41.8,10.8,47.1,0.0,0.0
257,Đường cát,383,2.4,1.1,0.0,94.6,0.0
258,Đường kính,397,0.5,0.0,0.0,99.3,0.0
259,Ếch (thịt đùi),90,75,20.0,1.1,0.0,0.0
260,Gà tần,131,75,6.7,7.4,9.4,1.0
261,Gấc,129,77,2.1,7.9,12.3,1.8
262,Gan bò,110,75.2,17.4,3.1,3.0,0.0
263,Gân chân bò,124,69.2,30.2,0.3,0.0,0.0
264,Gan gà,111,75,18.2,3.4,2.0,0.0
265,Gan lợn,116,74.1,18.8,3.6,2.0,0.0
266,Gan vịt,122,74.1,17.1,4.7,2.8,0.0
267,Gạo lứt,359,12.4,7.5,2.68,76.18,3.4
268,Gạo nếp (loại thường),350,13.9,8.4,1.6,75.4,0.5
269,Gạo nếp cái,348,14,8.6,1.5,75.1,0.6
270,Gạo tẻ giã,347,14,8.1,1.3,75.7,0.7
271,Gạo tẻ máy,346,14,7.9,1.0,76.3,0.4
272,Giá đậu tương,82,80.8,7.7,1.8,8.7,0.7
273,Giá đậu xanh,52,86.5,5.5,0.13,7.17,2.0
274,Giò bò,335,50.3,18.2,29.0,0.4,0.1
275,Giò lụa,205,65.3,16.9,15.0,0.5,0.1
276,Giò thủ lợn,553,29,16.0,54.3,0.0,0.0
277,Gừng khô (bột),346,10.2,7.6,2.9,72.4,0.0
278,Gừng tươi,41,90,0.4,0.51,8.59,3.3
279,Hải sâm,90,76.9,21.5,0.3,0.2,0.0
280,Hành củ muối,24,88.5,1.4,,4.7,0.7
281,Hành củ tươi,29,92.5,1.3,0.28,5.22,0.7
282,Hành lá,26,92.5,1.3,,5.2,0.9
283,Hành tây,45,88,1.8,0.11,9.29,1.1
284,Hạt bí đỏ rang,528,3.6,35.1,31.8,25.3,2.3
285,Hạt dẻ khô,363,8.9,6.82,1.81,79.76,0.0
286,Hạt dẻ to,652,9,18.0,59.0,12.2,3.5
287,Hạt dẻ tươi,223,44,4.2,1.11,49.07,0.0
288,Hạt đen,486,12,17.3,29.0,39.0,3.5
289,Hạt điều,608,3.4,18.4,46.3,29.3,0.6
